age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
18.0,Private,57529.375,11th,7,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Local-gov,57529.375,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Private,57529.375,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,7688,0,37.5,United-States,>50K
18.0,Private,57529.375,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,10th,6,Never-married,Other-service,Not-in-family,White,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Never-married,Prof-specialty,Unmarried,Black,Male,0,0,37.5,United-States,<=50K
18.0,Self-emp-not-inc,57529.375,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103,0,32.5,United-States,>50K
18.0,Private,57529.375,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,6418,0,37.5,United-States,>50K
18.0,Federal-gov,57529.375,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,37.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35.0,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3103,0,37.5,United-States,>50K
18.0,Private,57529.375,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,State-gov,57529.375,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,37.5,United-States,>50K
18.0,Private,57529.375,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,37.5,United-States,>50K
18.0,Private,57529.375,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,0,35.0,United-States,<=50K
18.0,Private,57529.375,7th-8th,4,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,32.5,United-States,<=50K
18.0,Private,57529.375,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,37.5,Peru,<=50K
18.0,Private,57529.375,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37.5,United-States,<=50K
18.0,Self-emp-not-inc,57529.375,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,37.5,United-States,>50K
18.0,Private,57529.375,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,32.5,United-States,<=50K
