Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,5849.0,0.0,120.0,360.0,1,Urban,Y
LP001003,Male,Yes,1,Graduate,No,4583.0,1508.0,128.0,360.0,1,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,3000.0,0.0,66.0,360.0,1,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,2583.0,2358.0,120.0,360.0,1,Urban,Y
LP001008,Male,No,0,Graduate,No,6000.0,0.0,141.0,360.0,1,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,5417.0,4196.0,267.0,360.0,1,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,2333.0,1516.0,95.0,360.0,1,Urban,Y
LP001014,Male,Yes,3,Graduate,No,3036.0,2504.0,158.0,360.0,0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,4006.0,1526.0,168.0,360.0,1,Urban,Y
LP001020,Male,Yes,1,Graduate,No,12841.0,10968.0,349.0,360.0,1,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,3200.0,700.0,70.0,360.0,1,Urban,Y
LP001027,Male,Yes,2,Graduate,No,2500.0,1840.0,109.0,360.0,1,Urban,Y
LP001028,Male,Yes,2,Graduate,No,3073.0,8106.0,200.0,360.0,1,Urban,Y
LP001029,Male,No,0,Graduate,No,1853.0,2840.0,114.0,360.0,1,Rural,N
LP001030,Male,Yes,2,Graduate,No,1299.0,1086.0,17.0,120.0,1,Urban,Y
LP001032,Male,No,0,Graduate,No,4950.0,0.0,125.0,360.0,1,Urban,Y
LP001034,Male,No,1,Not Graduate,No,3596.0,0.0,100.0,240.0,1,Urban,Y
LP001036,Female,No,0,Graduate,No,3510.0,0.0,76.0,360.0,0,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,4887.0,0.0,133.0,360.0,1,Rural,N
LP001041,Male,Yes,0,Graduate,No,2600.0,3500.0,115.0,360.0,1,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,7660.0,0.0,104.0,360.0,0,Urban,N
LP001046,Male,Yes,1,Graduate,No,5955.0,5625.0,315.0,360.0,1,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,2600.0,1911.0,116.0,360.0,0,Semiurban,N
LP001050,Male,Yes,2,Not Graduate,No,3365.0,1917.0,112.0,360.0,0,Rural,N
LP001052,Male,Yes,1,Graduate,No,3717.0,2925.0,151.0,360.0,1,Semiurban,N
LP001066,Male,Yes,0,Graduate,Yes,9560.0,0.0,191.0,360.0,1,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,2799.0,2253.0,122.0,360.0,1,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,4226.0,1040.0,110.0,360.0,1,Urban,Y
LP001086,Male,No,0,Not Graduate,No,1442.0,0.0,35.0,360.0,1,Urban,N
LP001087,Female,No,2,Graduate,No,3750.0,2083.0,120.0,360.0,1,Semiurban,Y
LP001091,Male,Yes,1,Graduate,No,4166.0,3369.0,201.0,360.0,1,Urban,N
LP001095,Male,No,0,Graduate,No,3167.0,0.0,74.0,360.0,1,Urban,N
LP001097,Male,No,1,Graduate,Yes,4692.0,0.0,106.0,360.0,1,Rural,N
LP001098,Male,Yes,0,Graduate,No,3500.0,1667.0,114.0,360.0,1,Semiurban,Y
LP001100,Male,No,3,Graduate,No,12500.0,3000.0,320.0,360.0,1,Rural,N
LP001106,Male,Yes,0,Graduate,No,2275.0,2067.0,120.0,360.0,1,Urban,Y
LP001109,Male,Yes,0,Graduate,No,1828.0,1330.0,100.0,360.0,0,Urban,N
LP001112,Female,Yes,0,Graduate,No,3667.0,1459.0,144.0,360.0,1,Semiurban,Y
LP001114,Male,No,0,Graduate,No,4166.0,7210.0,184.0,360.0,1,Urban,Y
LP001116,Male,No,0,Not Graduate,No,3748.0,1668.0,110.0,360.0,1,Semiurban,Y
LP001119,Male,No,0,Graduate,No,3600.0,0.0,80.0,360.0,1,Urban,N
LP001120,Male,No,0,Graduate,No,1800.0,1213.0,47.0,360.0,1,Urban,Y
LP001123,Male,Yes,0,Graduate,No,2400.0,0.0,75.0,360.0,1,Urban,Y
LP001131,Male,Yes,0,Graduate,No,3941.0,2336.0,134.0,360.0,1,Semiurban,Y
LP001136,Male,Yes,0,Not Graduate,Yes,4695.0,0.0,96.0,360.0,1,Urban,Y
LP001137,Female,No,0,Graduate,No,3410.0,0.0,88.0,360.0,1,Urban,Y
LP001138,Male,Yes,1,Graduate,No,5649.0,0.0,44.0,360.0,1,Urban,Y
LP001144,Male,Yes,0,Graduate,No,5821.0,0.0,144.0,360.0,1,Urban,Y
LP001146,Female,Yes,0,Graduate,No,2645.0,3440.0,120.0,360.0,0,Urban,N
LP001151,Female,No,0,Graduate,No,4000.0,2275.0,144.0,360.0,1,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,1928.0,1644.0,100.0,360.0,1,Semiurban,Y
LP001157,Female,No,0,Graduate,No,3086.0,0.0,120.0,360.0,1,Semiurban,Y
LP001164,Female,No,0,Graduate,No,4230.0,0.0,112.0,360.0,1,Semiurban,N
LP001179,Male,Yes,2,Graduate,No,4616.0,0.0,134.0,360.0,1,Urban,N
LP001186,Female,Yes,1,Graduate,Yes,11500.0,0.0,286.0,360.0,0,Urban,N
LP001194,Male,Yes,2,Graduate,No,2708.0,1167.0,97.0,360.0,1,Semiurban,Y
LP001195,Male,Yes,0,Graduate,No,2132.0,1591.0,96.0,360.0,1,Semiurban,Y
LP001197,Male,Yes,0,Graduate,No,3366.0,2200.0,135.0,360.0,1,Rural,N
LP001198,Male,Yes,1,Graduate,No,8080.0,2250.0,180.0,360.0,1,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,3357.0,2859.0,144.0,360.0,1,Urban,Y
LP001205,Male,Yes,0,Graduate,No,2500.0,3796.0,120.0,360.0,1,Urban,Y
LP001206,Male,Yes,3,Graduate,No,3029.0,0.0,99.0,360.0,1,Urban,Y
LP001207,Male,Yes,0,Not Graduate,Yes,2609.0,3449.0,165.0,180.0,0,Rural,N
LP001213,Male,Yes,1,Graduate,No,4945.0,0.0,120.0,360.0,0,Rural,N
LP001222,Female,No,0,Graduate,No,4166.0,0.0,116.0,360.0,0,Semiurban,N
